こだわり・・・、おっほ,もう一度話しかけてください,え、えー、もういちどはなしかけ,えー/いちど/はなしかける,花/華,null,null,
え毎年参加してます,今日は、誰かと出かけますか？,今日は一人で買い物に行ってきます 魚屋さんです,今日/一/買い物/行く/魚/屋/さん,買い物,null,null,
今日は一人で買い物に行ってきます 魚屋さんです,買い物はしますか？,お魚を買いに行きます,魚/買う/行く,買う,null,null,
えーとねえ、演奏できないんですよう,映像は好きですか？,えーと、映画は好きです,映画/好き,好き,null,null,
null,マイクは入力機器ですか？,違うと思います,違う/思う,null,違う,null,
ええ、毎年行ってます,お米派ですか？パン派ですか？麺派ですか？,えーとねー、全部好きです,全部/好き,好き,null,p,
そうですね 15年ぐらいまで仕事してました,どんな色の服が、好みですか？,茶色好きです,茶色い/好き,好き/色,null,null,
えーとねー、昔はねー、えーとねー、えーと、まり遊びとかビー玉遊びとか、えーと、陣取りとかしてました,体を動かす事は、好きですか？,正直あまり好きではないんですけどー、スポーツは昔は好きでした,正直/あまり/好き/ない/ー/スポーツ/昔/好き,好き/正直,null,null,
一週間のことですよね,何か、体で不調なところはありますか？,そうなんですよね、疲れやすいし、目も見えにくいし、あんまりねー、食べれなくなって、かたいものもあんまり,疲れる/目/見える/食べる/れる#ない/なる/かたい,堅い/固い/硬い,過怠,null,
そうですね,夏になると、虫が増えますよね。虫は苦手ですか？,虫は苦手です,虫/苦手,null,苦,null,
そうですね 隣の奥様とちょっとだけ話しました,今までに、大きい病気を経験したことは、ありますか？,大きい、手術はしたことないですね,大きい/手術/する/ない,null,大きい,null,
大きい、手術はしたことないですね,何か、ペットを飼っていますか？,ペットは飼っていません、苦手です,ペット/飼う#ん/苦手,null,苦,null,
歩きます,普段は何時に寝ますか？,えーと、11時過ぎ、11時頃です,11/過ぎ/11/頃,頃,null,null,
体ってなんだろね、自分の、なんだろうね,音楽は、良く聴きますか？,そうなんですよ、若い人の音楽よく聞きます,若い/人/音楽/よい/聞く,良い/善い/好い/楽/若い,null,null,
んは、知ってます,得意な料理はありますか？教えて欲しいな,料理するのがね、めんどくさくなって得意なものはないですね,料理/する/めんどくさい/なる/得意#ない,理,null,null,
